,intent,systemName
1,A07.01591.SberSpasibo_turn_off,SberSpasibo_turn_off
2,A17.01606.Something_about_report,Something_about_report
3,W0130.Report_insured_event,SmartApp_UB
8,A07.09640.Something_about_bonuses_SberSpasibo,Something_about_bonuses_sberspasibo
9,W0072.Travel_insurance_info,SmartApp_UB
12,A01.01687.How_to_change_card_limits,How_to_change_card_limits
13,A23.01639.Exchange_of_coins_for_banknotes,Exchange_of_coins_for_banknotes
23,A01.01564.Turn_off_paypass,Turn_off_paypass
24,A02.01614.Car_loan_interest_rate,Car_loan_interest_rate
25,W0050.My_insurance_products,SmartApp_UB
28,profile_app_address,canvas_address
29,A02.01575.Reasons_for_loan_arrears,loans_general_info
30,A16.0501.How_to_change_email,canvas_address
34,financial_problems_,golosovoj_pomoshchni-71773-RIL
37,A31.12685.Bankruptcy,Bankruptcy
39,W0142.Make_changes_to_policy,SmartApp_UB
40,gosuslugi_get_qr,gosuslugi
41,install_mp_sbol,
43,A01.01560.Changing_card_details_during_reissue,Changing_card_details_during_reissue
44,A0523.No_credits_received_spasibo,No_credits_received_spasibo
45,A07.09711.About_tasks,About_tasks
46,A13.01621.Find_info_about_SberID,Find_info_about_SberID
47,A17.01558.Status_of_the_request,Status_of_the_request
50,gosuslugi_health,gosuslugi
51,marketplace,marketplace
53,A17.01594.Job_search,Job_search
54,A24.08.022.faq_ops,A24.08.022.faq_ops
57,spravka_sudim,gosuslugi
58,А47.11203.Verification_of_operations_of_a_loved_one,Verification_of_operations_of_a_loved_one
59,A04.01665.Do_not_pay_and_transfer,Do_not_pay_and_transfer
60,A16.0502.How_to_change_TIN,How_to_change_TIN
61,A160508_How_to_change_interests,How_to_change_interests
62,catalog_chat_sbol_category,catalog
66,pop_it_antistress,Pop_it_antistress_s_sharikom
67,A0501.How_to_check_your_SPASIBO_bonus_balance,How_to_check_your_SPASIBO_bonus_balance
68,A24.08.023.faq_ipp,A24.08.023.faq_ipp
72,A05.01551.Deposit_selection,deposits_general_info
73,A18.01555.Extend_safe_deposit_box_rental,Extend_safe_deposit_box_rental
74,payment_app,payment_app
76,A24.08.026.faq_du,
77,W0158.Property_insurance,SmartApp_UB
78,current_time,time
79,deti_obrazovanie,gosuslugi
80,domclick,domclick
81,A0502.How_to_call_the_Bank,How_to_call_the_Bank
82,W0115.OSAGO_promo_details,SmartApp_UB
83,horoscope_for_today,Goroskop_na_segodnia
84,pfm_how_to_save_money,fin_advisor
86,relieve_stress,
87,A0521.How_to_get_a_loan,How_to_get_a_loan
88,A0534.Apply_for_a_new_card,Apply_for_a_new_card
89,A28.01620.Sbertips,Sbertips
90,weather_range_date,weather
91,A04.01675.Something_about_iban,Something_about_iban
93,A160509_How_to_change_agreements,How_to_change_agreements
94,A01.01637.How_to_activate_the_card,How_to_activate_the_card
95,A16.0505.How_to_change_address,canvas_address
96,book_doctor,duplex_app
97,buy_iis,buy_iis
99,sport_news,sport_skill
103,A0542.Get_a_statement_on_a_card,Get_a_statement_on_a_card
104,A24.08.030.faq_tax_return,A24.08.030.faq_tax_return
105,W0155.Credit_insurance,SmartApp_UB
109,A0512.How_to_increase_your_credit_limit,How_to_increase_your_credit_limit
112,A02.01584.Give_me_your_money,Give_me_your_money
113,A0518.Close_card,Close_card
114,A07.01592.Authorization_in_the_SberSpasibo_app,Authorization_in_the_SberSpasibo_app
117,refill_ipp,refill_ipp
118,A24.08.019.faq_pif,A24.08.019.faq_pif
119,W0020.House_insurance_info,SmartApp_UB
120,W0068.Card_protection_info,SmartApp_UB
123,tgp,
124,A0541.Connect_notifications,Connect_notifications
125,A07.09708.About_bonuses,About_bonuses
126,A23.06623.Coins_made_of_precious_metals,Coins_made_of_precious_metals
127,A24.08.024.faq_kpp,A24.08.024.faq_kpp
129,card_balance,card_balance
132,order_status,grocery
133,A05.06105.POS_arrange_problems,loans_general_info
134,A13.01642.Disable_paid_services,Disable_paid_services
137,how_to_invest,how_to_invest
139,A06.01500.How_to_enable_or_disable_autopayment,How_to_enable_or_disable_autopayment
141,bing,bing
143,pfm_total_finance,fin_advisor
145,A01.01566.Card_replenishment,Card_replenishment
146,A01.01583.Card_Mir,Card_Mir
147,A0505.What_can_I_do_with_SPASIBO_bonuses,What_can_I_do_with_SPASIBO_bonuses
148,A0526.How_to_block_a_card,How_to_block_a_card
149,A0545.Comission_for_payments_and_transfers,Comission_for_payments_and_transfers
150,A09.01562.Mobile_operators_available_for_SMS_bank_connection,Mobile_operators_available_for_SMS_bank_connection
151,A31.12686.Insurance_payments_on_deposits,Insurance_payments_on_deposits
153,snils,gosuslugi
156,video,video
157,A02.01672.Change_the_credit_debiting_account,loans_general_info
158,W0154.Cards_insurance,SmartApp_UB
162,A0527.How_to_change_pin_code,How_to_change_pin_code
163,A07.01593.SberSpasibo_bonus_categories,spasibo_sberbank_bot
